date,REAL_GDP_PER_CAPITA,REAL_GDP,TREASURY_YIELD,FEDERAL_FUNDS_RATE,CPI,INFLATION_EXPECTATION,CONSUMER_SENTIMENT,RETAIL_SALES,DURABLES,UNEMPLOYMENT,NONFARM_PAYROLL
1947-01-01,14213.0,,,,21.5,,,,,,43108
1947-04-01,14111.0,,,,21.9,,,,,,43309
1947-07-01,14018.0,,,,22.2,,,,,,43604
1947-10-01,14171.0,,,,23.0,,,,,,44741
1948-01-01,14326.0,,,,23.7,,,,,3.4,44224
1948-04-01,14505.0,,,,23.8,,,,,3.9,44082
1948-07-01,14525.0,,,,24.4,,,,,3.6,44989
1948-10-01,14474.0,,,,24.4,,,,,3.7,45693
1949-01-01,14212.0,,,,24.0,,,,,4.3,44159
1949-04-01,14107.0,,,,23.9,,,,,5.3,43881
1949-07-01,14192.0,,,,23.7,,,,,6.7,43352
1949-10-01,14009.0,,,,23.7,,,,,7.9,43447
1950-01-01,14500.0,,,,23.5,,,,,6.5,42976
1950-04-01,14889.0,,,,23.6,,,,,5.8,44011
1950-07-01,15398.0,,,,24.1,,,,,5.0,45272
1950-10-01,15623.0,,,,24.6,,,,,4.2,47239
1951-01-01,15769.0,,,,25.4,,,,,3.7,46686
1951-04-01,15979.0,,,,25.8,,,,,3.1,47505
1951-07-01,16234.0,,,,25.9,,,,,3.1,47888
1951-10-01,16192.0,,,,26.2,,,,,3.5,48550
1952-01-01,16299.0,,,,26.5,,,,,3.2,47659
1952-04-01,16271.0,,,,26.4,,,,,2.9,48268
1952-07-01,16317.0,,,,26.7,,,,,3.2,47977
1952-10-01,16776.0,,,,26.7,,,,,3.0,50156
1953-01-01,17025.0,,,,26.6,,.,,,2.9,49470
1953-04-01,17093.0,,2.83,,26.6,,.,,,2.7,50071
1953-07-01,16920.0,,2.93,,26.8,,.,,,2.6,50390
1953-10-01,16586.0,,2.66,,27.0,,.,,,3.1,50807
1954-01-01,16436.0,,2.48,,26.9,,.,,,4.9,48766
1954-04-01,16387.0,,2.29,,26.8,,.,,,5.9,48787
1954-07-01,16496.0,,2.30,0.80,26.9,,.,,,5.8,48704
1954-10-01,16737.0,,2.43,0.85,26.8,,.,,,5.7,49515
1955-01-01,17144.0,,2.61,1.39,26.7,,.,,,4.9,48764
1955-04-01,17353.0,,2.75,1.43,26.7,,.,,,4.7,49822
1955-07-01,17508.0,,2.90,1.68,26.8,,.,,,4.0,50868
1955-10-01,17528.0,,2.88,2.24,26.9,,.,,,4.3,52021
1956-01-01,17388.0,,2.90,2.45,26.8,,.,,,4.0,51249
1956-04-01,17461.0,,3.18,2.62,26.9,,.,,,4.0,51897
1956-07-01,17364.0,,3.11,2.75,27.4,,.,,,4.4,51847
1956-10-01,17562.0,,3.34,2.96,27.5,,.,,,3.9,53409
1957-01-01,17595.0,,3.46,2.84,27.6,,.,,,4.2,52168
1957-04-01,17485.0,,3.48,3.00,27.9,,.,,,3.9,52713
1957-07-01,17578.0,,3.93,2.99,28.3,,.,,,4.2,53041
1957-10-01,17317.0,,3.97,3.50,28.3,,.,,,4.5,53412
1958-01-01,16805.0,,3.09,2.72,28.6,,.,,,5.8,51353
1958-04-01,16850.0,,2.88,1.26,28.9,,.,,,7.4,50477
1958-07-01,17166.0,,3.20,0.68,29.0,,.,,,7.5,51013
1958-10-01,17486.0,,3.80,1.80,28.9,,.,,,6.7,52134
1959-01-01,17745.0,,4.02,2.48,29.0,,.,,,6.0,51721
1959-04-01,18075.0,,4.12,2.96,29.0,,.,,,5.2,52774
1959-07-01,18011.0,,4.40,3.47,29.2,,.,,,5.1,53843
1959-10-01,17983.0,,4.53,3.98,29.4,,.,,,5.7,53991
1960-01-01,18279.0,,4.72,3.99,29.3,,.,,,5.2,53448
1960-04-01,18072.0,,4.28,3.92,29.5,,.,,,5.2,54285
1960-07-01,18070.0,,3.90,3.23,29.6,,.,,,5.5,54412
1960-10-01,17768.0,,3.89,2.47,29.8,,.,,,6.1,54779
1961-01-01,17828.0,,3.84,1.45,29.8,,.,,,6.6,52780
1961-04-01,18061.0,,3.78,1.49,29.8,,.,,,7.0,53135
1961-07-01,18331.0,,3.92,1.17,30.0,,.,,,7.0,54288
1961-10-01,18610.0,,3.92,2.26,30.0,,.,,,6.5,55160
1962-01-01,18875.0,,4.08,2.15,30.0,,.,,,5.8,53922
1962-04-01,18979.0,,3.84,2.78,30.2,,.,,,5.6,55139
1962-07-01,19138.0,,4.01,2.71,30.3,,.,,,5.4,55946
1962-10-01,19124.0,,3.93,2.90,30.4,,.,,,5.4,56688
1963-01-01,19269.0,,3.83,2.92,30.4,,.,,,5.7,55108
1963-04-01,19422.0,,3.97,2.90,30.5,,.,,,5.7,56152
1963-07-01,19774.0,,4.02,3.02,30.7,,.,,,5.6,57013
1963-10-01,19827.0,,4.11,3.50,30.8,,.,,,5.5,57907
